title,species,habitat,taxa_group
389 9,Magpie,Shrub,bird
389 9,Woodpigeon,Woodland,bird
389 9,Woodpigeon,Arable,bird
389 9,Woodpigeon,Shrub,bird
389 9,Sycamore,Woodland,plant
389 9,Sycamore,Built-Up,plant
389 9,Brambles,Woodland,plant
389 9,Bracken,Woodland,plant
389 9,Wood_avens,Woodland,plant
389 5,Goldfinch,Woodland,bird
389 5,Goldfinch,Built-Up,bird
389 5,Goldfinch,Arable,bird
389 5,Goldfinch,Grassland,bird
389 5,Goldfinch,Shrub,bird
389 5,Goldfinch,Wetlands,bird
389 5,Crow,Built-Up,bird
389 5,Crow,Arable,bird
389 5,Crow,Woodland,bird
389 5,Crow,Grassland,bird
389 5,Crow,Rock,bird
389 5,Crow,Shrub,bird
389 5,Crow,Wetlands,bird
389 5,Oak,Woodland,plant
389 5,Ivy,Woodland,plant
389 5,Wood_avens,Woodland,plant
389 2,Magpie,Built-Up,bird
389 2,Magpie,Arable,bird
389 2,Magpie,Woodland,bird
389 2,Magpie,Grassland,bird
389 2,Magpie,Rock,bird
389 2,Magpie,Shrub,bird
389 2,Woodpigeon,Woodland,bird
389 2,Woodpigeon,Arable,bird
389 2,Woodpigeon,Shrub,bird
389 2,Speckled_wood,Woodland,insect
389 2,Speckled_wood,Built-Up,insect
389 2,Birch,Woodland,plant
389 2,Brambles,Woodland,plant
389 2,Cocks_foot,Grassland,plant
389 2,Cocks_foot,Grassland,plant
389 2,Buttercup_creeping,Grassland,plant
389 2,Buttercup_creeping,Grassland,plant
485 12,Goldfinch,Woodland,bird
485 12,Goldfinch,Built-Up,bird
485 12,Goldfinch,Arable,bird
485 12,Goldfinch,Grassland,bird
485 12,Goldfinch,Shrub,bird
485 12,Goldfinch,Wetlands,bird
485 12,Jackdaw,Built-Up,bird
485 12,Jackdaw,Arable,bird
485 12,Jackdaw,Woodland,bird
485 12,Jackdaw,Grassland,bird
485 12,Jackdaw,Rock,bird
485 12,Feral_pigeon,Built-Up,bird
485 12,Feral_pigeon,Rock,bird
485 12,Feral_pigeon,Arable,bird
485 12,Uknown_White_tailed,Grassland,insect
485 12,Uknown_White_tailed,Wetlands,insect
485 12,Uknown_White_tailed,Arable,insect
485 12,Uknown_White_tailed,Woodland,insect
485 12,Uknown_White_tailed,Built-Up,insect
485 12,Sycamore,Woodland,plant
485 12,Sycamore,Built-Up,plant
485 12,Buddleja,Built-Up,plant
485 12,Nettles,Grassland,plant
485 12,Nettles,Wetlands,plant
485 12,Nettles,Built-Up,plant
485 4,Robin,Woodland,bird
485 4,Robin,Built-Up,bird
485 4,Robin,Arable,bird
485 4,Robin,Grassland,bird
485 4,Robin,Shrub,bird
485 4,Crow,Built-Up,bird
485 4,Crow,Arable,bird
485 4,Crow,Woodland,bird
485 4,Crow,Grassland,bird
485 4,Crow,Rock,bird
485 4,Crow,Shrub,bird
485 4,Crow,Wetlands,bird
485 4,Woodpigeon,Woodland,bird
485 4,Woodpigeon,Arable,bird
485 4,Woodpigeon,Shrub,bird
485 4,Sycamore,Woodland,plant
485 4,Sycamore,Built-Up,plant
485 4,Wood_avens,Woodland,plant
485 3,Long-tailed_tit,Woodland,bird
485 3,Long-tailed_tit,Built-Up,bird
485 3,Long-tailed_tit,Arable,bird
485 3,Long-tailed_tit,Shrub,bird
485 3,Long-tailed_tit,Wetlands,bird
485 3,Jackdaw,Built-Up,bird
485 3,Jackdaw,Arable,bird
485 3,Jackdaw,Woodland,bird
485 3,Jackdaw,Grassland,bird
485 3,Jackdaw,Rock,bird
485 3,Birch,Woodland,plant
485 3,Brambles,Woodland,plant
485 3,Common_reed,Wetlands,plant
485 3,Ragwort,Grassland,plant
485 3,Ragwort,Grassland,plant
485 3,Ragwort,Grassland,plant
485 9,Robin,Woodland,bird
485 9,Robin,Built-Up,bird
485 9,Robin,Arable,bird
485 9,Robin,Grassland,bird
485 9,Robin,Shrub,bird
485 9,Goldfinch,Woodland,bird
485 9,Goldfinch,Built-Up,bird
485 9,Goldfinch,Arable,bird
485 9,Goldfinch,Grassland,bird
485 9,Goldfinch,Shrub,bird
485 9,Goldfinch,Wetlands,bird
485 9,Great_tit,Woodland,bird
485 9,Great_tit,Arable,bird
485 9,Great_tit,Built-Up,bird
485 9,Great_tit,Grassland,bird
485 9,Great_tit,Shrub,bird
485 9,Jackdaw,Built-Up,bird
485 9,Jackdaw,Arable,bird
485 9,Jackdaw,Woodland,bird
485 9,Jackdaw,Grassland,bird
485 9,Jackdaw,Rock,bird
485 9,Woodpigeon,Woodland,bird
485 9,Woodpigeon,Arable,bird
485 9,Woodpigeon,Shrub,bird
485 9,Birch,Woodland,plant
485 9,Buttercup_creeping,Grassland,plant
485 9,Buttercup_creeping,Grassland,plant
485 5,Magpie,Built-Up,bird
485 5,Magpie,Arable,bird
485 5,Magpie,Woodland,bird
485 5,Magpie,Grassland,bird
485 5,Magpie,Rock,bird
485 5,Magpie,Shrub,bird
485 5,Woodpigeon,Woodland,bird
485 5,Woodpigeon,Arable,bird
485 5,Woodpigeon,Shrub,bird
485 5,Birch,Woodland,plant
485 5,Clover_white,Grassland,plant
485 5,Clover_white,Grassland,plant
485 1,Goldfinch,Woodland,bird
485 1,Goldfinch,Built-Up,bird
485 1,Goldfinch,Arable,bird
485 1,Goldfinch,Grassland,bird
485 1,Goldfinch,Shrub,bird
485 1,Goldfinch,Wetlands,bird
485 1,Blue_tit,Woodland,bird
485 1,Blue_tit,Arable,bird
485 1,Blue_tit,Built-Up,bird
485 1,Blue_tit,Shrub,bird
485 1,Crow,Built-Up,bird
485 1,Crow,Arable,bird
485 1,Crow,Woodland,bird
485 1,Crow,Grassland,bird
485 1,Crow,Rock,bird
485 1,Crow,Shrub,bird
485 1,Crow,Wetlands,bird
485 1,Woodpigeon,Woodland,bird
485 1,Woodpigeon,Arable,bird
485 1,Woodpigeon,Shrub,bird
485 1,Poplar,Built-Up,plant
485 1,Buttercup_creeping,Grassland,plant
485 1,Buttercup_creeping,Grassland,plant
618 7,Feral_pigeon,Built-Up,bird
618 7,Feral_pigeon,Rock,bird
618 7,Feral_pigeon,Arable,bird
618 7,Uknown_Small_white_butterfly,Grassland,insect
618 7,Uknown_Small_white_butterfly,Built-Up,insect
618 7,Uknown_Small_white_butterfly,Shrub,insect
618 7,Uknown_Small_white_butterfly,Grassland,insect
618 7,Uknown_Small_white_butterfly,Wetlands,insect
618 7,Cherry,Woodland,plant
618 7,Broad-leaved_Dock,Grassland,plant
618 7,Broad-leaved_Dock,Built-Up,plant
618 10,Goldfinch,Woodland,bird
618 10,Goldfinch,Built-Up,bird
618 10,Goldfinch,Arable,bird
618 10,Goldfinch,Grassland,bird
618 10,Goldfinch,Shrub,bird
618 10,Goldfinch,Wetlands,bird
618 10,Magpie,Built-Up,bird
618 10,Magpie,Arable,bird
618 10,Magpie,Woodland,bird
618 10,Magpie,Grassland,bird
618 10,Magpie,Rock,bird
618 10,Magpie,Shrub,bird
618 10,Uknown_Small_white_butterfly,Grassland,insect
618 10,Uknown_Small_white_butterfly,Built-Up,insect
618 10,Uknown_Small_white_butterfly,Shrub,insect
618 10,Uknown_Small_white_butterfly,Grassland,insect
618 10,Uknown_Small_white_butterfly,Wetlands,insect
618 10,Horsetail,Arable,plant
618 10,Dandelion,Grassland,plant
618 10,Dandelion,Built-Up,plant
619 5,Magpie,Built-Up,bird
619 5,Magpie,Arable,bird
619 5,Magpie,Woodland,bird
619 5,Magpie,Grassland,bird
619 5,Magpie,Rock,bird
619 5,Magpie,Shrub,bird
619 5,Feral_pigeon,Built-Up,bird
619 5,Feral_pigeon,Rock,bird
619 5,Feral_pigeon,Arable,bird
619 5,Uknown_Small_white_butterfly,Grassland,insect
619 5,Uknown_Small_white_butterfly,Built-Up,insect
619 5,Uknown_Small_white_butterfly,Shrub,insect
619 5,Uknown_Small_white_butterfly,Grassland,insect
619 5,Uknown_Small_white_butterfly,Wetlands,insect
619 5,Crab_Apple,Woodland,plant
619 5,Ragwort,Grassland,plant
619 5,Ragwort,Grassland,plant
619 5,Ragwort,Grassland,plant
619 3,Magpie,Built-Up,bird
619 3,Magpie,Arable,bird
619 3,Magpie,Woodland,bird
619 3,Magpie,Grassland,bird
619 3,Magpie,Rock,bird
619 3,Magpie,Shrub,bird
619 3,Woodpigeon,Woodland,bird
619 3,Woodpigeon,Arable,bird
619 3,Woodpigeon,Shrub,bird
619 3,Sycamore,Woodland,plant
619 3,Sycamore,Built-Up,plant
619 3,Ivy,Woodland,plant
619 3,Nettles,Grassland,plant
619 3,Nettles,Wetlands,plant
619 3,Nettles,Built-Up,plant
619 7,Magpie,Built-Up,bird
619 7,Magpie,Arable,bird
619 7,Magpie,Woodland,bird
619 7,Magpie,Grassland,bird
619 7,Magpie,Rock,bird
619 7,Magpie,Shrub,bird
619 7,Feral_pigeon,Built-Up,bird
619 7,Feral_pigeon,Rock,bird
619 7,Feral_pigeon,Arable,bird
619 7,Sycamore,Woodland,plant
619 7,Sycamore,Built-Up,plant
619 7,Bindweed,Built-Up,plant
619 7,Dandelion,Grassland,plant
619 7,Dandelion,Built-Up,plant
619 10,Goldfinch,Woodland,bird
619 10,Goldfinch,Built-Up,bird
619 10,Goldfinch,Arable,bird
619 10,Goldfinch,Grassland,bird
619 10,Goldfinch,Shrub,bird
619 10,Goldfinch,Wetlands,bird
619 10,Feral_pigeon,Built-Up,bird
619 10,Feral_pigeon,Rock,bird
619 10,Feral_pigeon,Arable,bird
619 10,Uknown_Small_white_butterfly,Grassland,insect
619 10,Uknown_Small_white_butterfly,Built-Up,insect
619 10,Uknown_Small_white_butterfly,Shrub,insect
619 10,Uknown_Small_white_butterfly,Grassland,insect
619 10,Uknown_Small_white_butterfly,Wetlands,insect
619 10,Birch,Woodland,plant
619 10,Dandelion,Grassland,plant
619 10,Dandelion,Built-Up,plant
619 4,Goldfinch,Woodland,bird
619 4,Goldfinch,Built-Up,bird
619 4,Goldfinch,Arable,bird
619 4,Goldfinch,Grassland,bird
619 4,Goldfinch,Shrub,bird
619 4,Goldfinch,Wetlands,bird
619 4,Magpie,Built-Up,bird
619 4,Magpie,Arable,bird
619 4,Magpie,Woodland,bird
619 4,Magpie,Grassland,bird
619 4,Magpie,Rock,bird
619 4,Magpie,Shrub,bird
619 4,Woodpigeon,Woodland,bird
619 4,Woodpigeon,Arable,bird
619 4,Woodpigeon,Shrub,bird
619 4,Uknown_Small_white_butterfly,Grassland,insect
619 4,Uknown_Small_white_butterfly,Built-Up,insect
619 4,Uknown_Small_white_butterfly,Shrub,insect
619 4,Uknown_Small_white_butterfly,Grassland,insect
619 4,Uknown_Small_white_butterfly,Wetlands,insect
619 4,Elder,Built-Up,plant
619 4,Brambles,Woodland,plant
619 4,Dandelion,Grassland,plant
619 4,Dandelion,Built-Up,plant
619 1,Robin,Woodland,bird
619 1,Robin,Built-Up,bird
619 1,Robin,Arable,bird
619 1,Robin,Grassland,bird
619 1,Robin,Shrub,bird
619 1,Crow,Built-Up,bird
619 1,Crow,Arable,bird
619 1,Crow,Woodland,bird
619 1,Crow,Grassland,bird
619 1,Crow,Rock,bird
619 1,Crow,Shrub,bird
619 1,Crow,Wetlands,bird
619 1,Woodpigeon,Woodland,bird
619 1,Woodpigeon,Arable,bird
619 1,Woodpigeon,Shrub,bird
619 1,Uknown_Small_white_butterfly,Grassland,insect
619 1,Uknown_Small_white_butterfly,Built-Up,insect
619 1,Uknown_Small_white_butterfly,Shrub,insect
619 1,Uknown_Small_white_butterfly,Grassland,insect
619 1,Uknown_Small_white_butterfly,Wetlands,insect
619 1,Ash,Woodland,plant
779 11,Blackbird,Woodland,bird
779 11,Blackbird,Built-Up,bird
779 11,Blackbird,Arable,bird
779 11,Blackbird,Grassland,bird
779 11,Blackbird,Shrub,bird
779 11,Crow,Built-Up,bird
779 11,Crow,Arable,bird
779 11,Crow,Woodland,bird
779 11,Crow,Grassland,bird
779 11,Crow,Rock,bird
779 11,Crow,Shrub,bird
779 11,Crow,Wetlands,bird
779 11,Speckled_wood,Woodland,insect
779 11,Speckled_wood,Built-Up,insect
779 11,Poplar,Built-Up,plant
779 11,Cocks_foot,Grassland,plant
779 11,Cocks_foot,Grassland,plant
779 11,Hogweed,Grassland,plant
779 4,Blackbird,Woodland,bird
779 4,Blackbird,Built-Up,bird
779 4,Blackbird,Arable,bird
779 4,Blackbird,Grassland,bird
779 4,Blackbird,Shrub,bird
779 4,Blue_tit,Woodland,bird
779 4,Blue_tit,Arable,bird
779 4,Blue_tit,Built-Up,bird
779 4,Blue_tit,Shrub,bird
779 4,Jackdaw,Built-Up,bird
779 4,Jackdaw,Arable,bird
779 4,Jackdaw,Woodland,bird
779 4,Jackdaw,Grassland,bird
779 4,Jackdaw,Rock,bird
779 4,Western_honeybee,Grassland,insect
779 4,Western_honeybee,Wetlands,insect
779 4,Western_honeybee,Arable,insect
779 4,Western_honeybee,Woodland,insect
779 4,Western_honeybee,Built-Up,insect
779 4,Hazel,Woodland,plant
779 4,Brambles,Woodland,plant
779 4,Common_rush,Grassland,plant
779 4,Common_rush,Wetlands,plant
779 4,Thistles,Arable,plant
779 4,Thistles,Grassland,plant
779 4,Thistles,Grassland,plant
779 5,Robin,Woodland,bird
779 5,Robin,Built-Up,bird
779 5,Robin,Arable,bird
779 5,Robin,Grassland,bird
779 5,Robin,Shrub,bird
779 5,Blue_tit,Woodland,bird
779 5,Blue_tit,Arable,bird
779 5,Blue_tit,Built-Up,bird
779 5,Blue_tit,Shrub,bird
779 5,Magpie,Built-Up,bird
779 5,Magpie,Arable,bird
779 5,Magpie,Woodland,bird
779 5,Magpie,Grassland,bird
779 5,Magpie,Rock,bird
779 5,Magpie,Shrub,bird
779 5,Woodpigeon,Woodland,bird
779 5,Woodpigeon,Arable,bird
779 5,Woodpigeon,Shrub,bird
779 5,Hazel,Woodland,plant
779 5,Common_reed,Wetlands,plant
779 1,Long-tailed_tit,Woodland,bird
779 1,Long-tailed_tit,Built-Up,bird
779 1,Long-tailed_tit,Arable,bird
779 1,Long-tailed_tit,Shrub,bird
779 1,Long-tailed_tit,Wetlands,bird
779 1,Magpie,Built-Up,bird
779 1,Magpie,Arable,bird
779 1,Magpie,Woodland,bird
779 1,Magpie,Grassland,bird
779 1,Magpie,Rock,bird
779 1,Magpie,Shrub,bird
779 1,Hazel,Woodland,plant
779 1,Brambles,Woodland,plant
779 1,Common_reed,Wetlands,plant
779 1,Nettles,Grassland,plant
779 1,Nettles,Wetlands,plant
779 1,Nettles,Built-Up,plant
779 10,Magpie,Built-Up,bird
779 10,Magpie,Arable,bird
779 10,Magpie,Woodland,bird
779 10,Magpie,Grassland,bird
779 10,Magpie,Rock,bird
779 10,Magpie,Shrub,bird
779 10,Woodpigeon,Woodland,bird
779 10,Woodpigeon,Arable,bird
779 10,Woodpigeon,Shrub,bird
779 10,Uknown_Small_white_butterfly,Grassland,insect
779 10,Uknown_Small_white_butterfly,Built-Up,insect
779 10,Uknown_Small_white_butterfly,Shrub,insect
779 10,Uknown_Small_white_butterfly,Grassland,insect
779 10,Uknown_Small_white_butterfly,Wetlands,insect
779 10,Birch,Woodland,plant
779 10,Clover_white,Grassland,plant
779 10,Clover_white,Grassland,plant
876 2,Wren,Woodland,bird
876 2,Wren,Built-Up,bird
876 2,Wren,Shrub,bird
876 2,Crow,Built-Up,bird
876 2,Crow,Arable,bird
876 2,Crow,Woodland,bird
876 2,Crow,Grassland,bird
876 2,Crow,Rock,bird
876 2,Crow,Shrub,bird
876 2,Crow,Wetlands,bird
876 2,Feral_pigeon,Built-Up,bird
876 2,Feral_pigeon,Rock,bird
876 2,Feral_pigeon,Arable,bird
876 2,Large_white,Built-Up,insect
876 2,Large_white,Wetlands,insect
876 2,Large_white,Grassland,insect
876 2,Large_white,Arable,insect
876 2,Large_white,Woodland,insect
876 2,Pied,Grassland,insect
876 2,Pied,Built-Up,insect
876 2,Common_wasp,Grassland,insect
876 2,Common_wasp,Wetlands,insect
876 2,Common_wasp,Arable,insect
876 2,Common_wasp,Woodland,insect
876 2,Common_wasp,Built-Up,insect
876 2,Alder,Woodland,plant
876 2,Alder,Wetlands,plant
876 2,Bindweed,Built-Up,plant
876 2,Buttercup_creeping,Grassland,plant
876 2,Buttercup_creeping,Grassland,plant
876 4,Magpie,Built-Up,bird
876 4,Magpie,Arable,bird
876 4,Magpie,Woodland,bird
876 4,Magpie,Grassland,bird
876 4,Magpie,Rock,bird
876 4,Magpie,Shrub,bird
876 4,Woodpigeon,Woodland,bird
876 4,Woodpigeon,Arable,bird
876 4,Woodpigeon,Shrub,bird
876 4,Uknown_Small_white_butterfly,Grassland,insect
876 4,Uknown_Small_white_butterfly,Built-Up,insect
876 4,Uknown_Small_white_butterfly,Shrub,insect
876 4,Uknown_Small_white_butterfly,Grassland,insect
876 4,Uknown_Small_white_butterfly,Wetlands,insect
876 4,Cocks_foot,Grassland,plant
876 4,Cocks_foot,Grassland,plant
876 4,Clover_white,Grassland,plant
876 4,Clover_white,Grassland,plant
876 1,Robin,Woodland,bird
876 1,Robin,Built-Up,bird
876 1,Robin,Arable,bird
876 1,Robin,Grassland,bird
876 1,Robin,Shrub,bird
876 1,Magpie,Built-Up,bird
876 1,Magpie,Arable,bird
876 1,Magpie,Woodland,bird
876 1,Magpie,Grassland,bird
876 1,Magpie,Rock,bird
876 1,Magpie,Shrub,bird
876 1,Poplar,Built-Up,plant
876 1,Broad-leaved_Dock,Grassland,plant
876 1,Broad-leaved_Dock,Built-Up,plant
876 6,Magpie,Built-Up,bird
876 6,Magpie,Arable,bird
876 6,Magpie,Woodland,bird
876 6,Magpie,Grassland,bird
876 6,Magpie,Rock,bird
876 6,Magpie,Shrub,bird
876 6,Uknown_Small_white_butterfly,Grassland,insect
876 6,Uknown_Small_white_butterfly,Built-Up,insect
876 6,Uknown_Small_white_butterfly,Shrub,insect
876 6,Uknown_Small_white_butterfly,Grassland,insect
876 6,Uknown_Small_white_butterfly,Wetlands,insect
876 6,Sycamore,Woodland,plant
876 6,Sycamore,Built-Up,plant
876 6,Dandelion,Grassland,plant
876 6,Dandelion,Built-Up,plant
876 8,Magpie,Built-Up,bird
876 8,Magpie,Arable,bird
876 8,Magpie,Woodland,bird
876 8,Magpie,Grassland,bird
876 8,Magpie,Rock,bird
876 8,Magpie,Shrub,bird
876 8,Uknown_Small_white_butterfly,Grassland,insect
876 8,Uknown_Small_white_butterfly,Built-Up,insect
876 8,Uknown_Small_white_butterfly,Shrub,insect
876 8,Uknown_Small_white_butterfly,Grassland,insect
876 8,Uknown_Small_white_butterfly,Wetlands,insect
876 8,Crab_Apple,Woodland,plant
876 8,Buddleja,Built-Up,plant
876 8,Horsetail,Arable,plant
876 8,Dandelion,Grassland,plant
876 8,Dandelion,Built-Up,plant
876 3,Crow,Built-Up,bird
876 3,Crow,Arable,bird
876 3,Crow,Woodland,bird
876 3,Crow,Grassland,bird
876 3,Crow,Rock,bird
876 3,Crow,Shrub,bird
876 3,Crow,Wetlands,bird
876 3,Woodpigeon,Woodland,bird
876 3,Woodpigeon,Arable,bird
876 3,Woodpigeon,Shrub,bird
876 3,Clover_white,Grassland,plant
876 3,Clover_white,Grassland,plant
908 9,Great_tit,Woodland,bird
908 9,Great_tit,Arable,bird
908 9,Great_tit,Built-Up,bird
908 9,Great_tit,Grassland,bird
908 9,Great_tit,Shrub,bird
908 9,Crow,Built-Up,bird
908 9,Crow,Arable,bird
908 9,Crow,Woodland,bird
908 9,Crow,Grassland,bird
908 9,Crow,Rock,bird
908 9,Crow,Shrub,bird
908 9,Crow,Wetlands,bird
908 9,Woodpigeon,Woodland,bird
908 9,Woodpigeon,Arable,bird
908 9,Woodpigeon,Shrub,bird
908 9,Parakeet,Woodland,bird
908 9,Parakeet,Arable,bird
908 9,Parakeet,Grassland,bird
908 9,Parakeet,Shrub,bird
908 9,Parakeet,Wetlands,bird
908 9,Uknown_Small_white_butterfly,Grassland,insect
908 9,Uknown_Small_white_butterfly,Built-Up,insect
908 9,Uknown_Small_white_butterfly,Shrub,insect
908 9,Uknown_Small_white_butterfly,Grassland,insect
908 9,Uknown_Small_white_butterfly,Wetlands,insect
908 9,Clover_white,Grassland,plant
908 9,Clover_white,Grassland,plant
908 3,Great_tit,Woodland,bird
908 3,Great_tit,Arable,bird
908 3,Great_tit,Built-Up,bird
908 3,Great_tit,Grassland,bird
908 3,Great_tit,Shrub,bird
908 3,Crow,Built-Up,bird
908 3,Crow,Arable,bird
908 3,Crow,Woodland,bird
908 3,Crow,Grassland,bird
908 3,Crow,Rock,bird
908 3,Crow,Shrub,bird
908 3,Crow,Wetlands,bird
908 3,Woodpigeon,Woodland,bird
908 3,Woodpigeon,Arable,bird
908 3,Woodpigeon,Shrub,bird
908 3,Uknown_Small_white_butterfly,Grassland,insect
908 3,Uknown_Small_white_butterfly,Built-Up,insect
908 3,Uknown_Small_white_butterfly,Shrub,insect
908 3,Uknown_Small_white_butterfly,Grassland,insect
908 3,Uknown_Small_white_butterfly,Wetlands,insect
908 3,Hawthorn,Woodland,plant
908 3,Buttercup_creeping,Grassland,plant
908 3,Buttercup_creeping,Grassland,plant
908 6,Wren,Woodland,bird
908 6,Wren,Built-Up,bird
908 6,Wren,Shrub,bird
908 6,Chiffchaff,Woodland,bird
908 6,Chiffchaff,Shrub,bird
908 6,Chiffchaff,Wetlands,bird
908 6,Great_tit,Woodland,bird
908 6,Great_tit,Arable,bird
908 6,Great_tit,Built-Up,bird
908 6,Great_tit,Grassland,bird
908 6,Great_tit,Shrub,bird
908 6,Magpie,Built-Up,bird
908 6,Magpie,Arable,bird
908 6,Magpie,Woodland,bird
908 6,Magpie,Grassland,bird
908 6,Magpie,Rock,bird
908 6,Magpie,Shrub,bird
908 6,Woodpigeon,Woodland,bird
908 6,Woodpigeon,Arable,bird
908 6,Woodpigeon,Shrub,bird
908 6,Speckled_wood,Woodland,insect
908 6,Speckled_wood,Built-Up,insect
908 6,Crane_fly,Grassland,insect
908 6,Crane_fly,Arable,insect
908 6,Crane_fly,Woodland,insect
908 6,Crane_fly,Built-Up,insect
908 6,Beech,Woodland,plant
908 6,Buttercup_creeping,Grassland,plant
908 6,Buttercup_creeping,Grassland,plant
908 4,Robin,Woodland,bird
908 4,Robin,Built-Up,bird
908 4,Robin,Arable,bird
908 4,Robin,Grassland,bird
908 4,Robin,Shrub,bird
908 4,Great_tit,Woodland,bird
908 4,Great_tit,Arable,bird
908 4,Great_tit,Built-Up,bird
908 4,Great_tit,Grassland,bird
908 4,Great_tit,Shrub,bird
908 4,Magpie,Built-Up,bird
908 4,Magpie,Arable,bird
908 4,Magpie,Woodland,bird
908 4,Magpie,Grassland,bird
908 4,Magpie,Rock,bird
908 4,Magpie,Shrub,bird
908 4,Feral_pigeon,Built-Up,bird
908 4,Feral_pigeon,Rock,bird
908 4,Feral_pigeon,Arable,bird
908 4,Parakeet,Woodland,bird
908 4,Parakeet,Arable,bird
908 4,Parakeet,Grassland,bird
908 4,Parakeet,Shrub,bird
908 4,Parakeet,Wetlands,bird
908 4,Uknown_Small_white_butterfly,Grassland,insect
908 4,Uknown_Small_white_butterfly,Built-Up,insect
908 4,Uknown_Small_white_butterfly,Shrub,insect
908 4,Uknown_Small_white_butterfly,Grassland,insect
908 4,Uknown_Small_white_butterfly,Wetlands,insect
908 4,Common_rush,Grassland,plant
908 4,Common_rush,Wetlands,plant
908 4,Buttercup_creeping,Grassland,plant
908 4,Buttercup_creeping,Grassland,plant
908 2,Robin,Woodland,bird
908 2,Robin,Built-Up,bird
908 2,Robin,Arable,bird
908 2,Robin,Grassland,bird
908 2,Robin,Shrub,bird
908 2,Magpie,Built-Up,bird
908 2,Magpie,Arable,bird
908 2,Magpie,Woodland,bird
908 2,Magpie,Grassland,bird
908 2,Magpie,Rock,bird
908 2,Magpie,Shrub,bird
908 2,Woodpigeon,Woodland,bird
908 2,Woodpigeon,Arable,bird
908 2,Woodpigeon,Shrub,bird
908 2,Uknown_Small_white_butterfly,Grassland,insect
908 2,Uknown_Small_white_butterfly,Built-Up,insect
908 2,Uknown_Small_white_butterfly,Shrub,insect
908 2,Uknown_Small_white_butterfly,Grassland,insect
908 2,Uknown_Small_white_butterfly,Wetlands,insect
908 2,Common_wasp,Grassland,insect
908 2,Common_wasp,Wetlands,insect
908 2,Common_wasp,Arable,insect
908 2,Common_wasp,Woodland,insect
908 2,Common_wasp,Built-Up,insect
908 2,Ash,Woodland,plant
908 2,Brambles,Woodland,plant
908 2,Broad-leaved_Dock,Grassland,plant
908 2,Broad-leaved_Dock,Built-Up,plant
908 5,Robin,Woodland,bird
908 5,Robin,Built-Up,bird
908 5,Robin,Arable,bird
908 5,Robin,Grassland,bird
908 5,Robin,Shrub,bird
908 5,Goldfinch,Woodland,bird
908 5,Goldfinch,Built-Up,bird
908 5,Goldfinch,Arable,bird
908 5,Goldfinch,Grassland,bird
908 5,Goldfinch,Shrub,bird
908 5,Goldfinch,Wetlands,bird
908 5,Magpie,Built-Up,bird
908 5,Magpie,Arable,bird
908 5,Magpie,Woodland,bird
908 5,Magpie,Grassland,bird
908 5,Magpie,Rock,bird
908 5,Magpie,Shrub,bird
908 5,Woodpigeon,Woodland,bird
908 5,Woodpigeon,Arable,bird
908 5,Woodpigeon,Shrub,bird
908 5,Speckled_wood,Woodland,insect
908 5,Speckled_wood,Built-Up,insect
908 5,Common_wasp,Grassland,insect
908 5,Common_wasp,Wetlands,insect
908 5,Common_wasp,Arable,insect
908 5,Common_wasp,Woodland,insect
908 5,Common_wasp,Built-Up,insect
908 5,Ash,Woodland,plant
908 5,Ivy,Woodland,plant
908 5,Nettles,Grassland,plant
