title,distance_to_motorway_m,distance_to_aroad_or_motorway_m,distance_to_broad_or_aroad_or_motorway_m,distance_to_public_road_m,distance_to_major_river_m,distance_to_secondary_river_m,distance_to_watercourse_m,distance_to_railway_m,distance_to_woodland_m,distance_to_offroad_cyclepath_m,distance_to_large_greenspace_m,distance_to_medium_greenspace_m,distance_to_small_greenspace_m
325 4,376,376,376,9,503,503,49,1068,276,39,139,20,20
325 5,580,580,580,378,134,134,5,699,9,0,226,63,0
325 6,360,360,360,231,212,212,67,754,193,155,301,0,0
325 7,702,702,702,87,453,453,27,992,93,156,94,0,0
325 8,473,473,473,228,253,253,0,823,157,46,151,43,0
325 9,603,603,603,186,370,370,29,928,45,61,17,17,0
325 10,575,575,575,92,557,557,0,1120,117,237,0,0,0
325 11,407,407,407,128,684,684,125,1255,125,129,36,21,21
325 12,328,328,328,13,460,460,118,1015,274,5,217,61,0
326 1,934,934,934,189,238,238,167,764,167,0,287,241,1
326 2,730,730,730,381,52,52,52,449,205,181,479,321,32
326 3,910,910,910,265,242,242,242,260,251,368,625,436,164
326 4,819,819,819,253,259,259,54,790,54,33,264,138,0
326 5,623,623,623,449,77,77,18,632,20,41,291,133,36
326 6,817,817,817,411,54,54,54,585,180,142,393,307,0
326 7,1152,1142,1142,267,85,85,85,620,413,150,281,45,24
326 8,930,930,930,294,110,110,110,636,211,123,388,263,0
326 9,733,733,733,364,182,182,42,715,42,24,248,174,31
326 10,1024,1024,1024,454,61,61,61,434,407,306,506,270,0
326 11,1021,1021,1021,305,58,58,58,584,311,158,376,181,0
326 12,630,630,630,426,22,22,22,507,125,83,417,227,0
327 1,1141,1141,1141,464,86,86,86,419,501,327,467,219,23
327 2,1568,839,839,491,81,81,81,302,167,95,430,0,0
327 3,1404,1019,1019,361,263,263,216,208,260,166,503,0,0
327 4,1470,885,885,535,78,78,78,389,297,227,364,89,53
327 5,1244,1156,1156,357,271,271,271,238,419,316,560,116,5
327 6,1365,975,975,532,94,94,94,409,388,321,357,116,54
327 7,1121,1121,1121,387,222,222,222,280,374,437,592,240,30
327 8,1354,1019,1019,460,183,183,183,321,346,273,446,60,0
327 9,1476,930,930,321,258,258,134,150,183,76,414,0,0
327 10,1214,1099,1099,413,23,23,23,485,524,295,366,134,1
327 11,1388,977,977,187,408,408,208,35,303,104,466,76,76
327 12,1084,1084,1084,216,394,394,193,102,193,321,764,278,107
328 1,1761,582,582,72,415,415,73,127,91,233,68,68,68
328 2,1630,753,753,249,253,253,20,45,107,81,238,92,0
328 3,1751,638,638,254,232,232,6,27,127,61,123,123,0
328 4,1757,688,688,410,76,76,45,183,76,53,227,100,89
328 5,1849,504,504,124,375,375,0,93,99,214,0,0,0
328 6,1531,837,837,200,332,332,64,15,192,9,328,24,24
328 7,1562,778,778,34,475,475,94,128,261,31,256,88,88
328 8,1522,896,896,349,212,212,92,168,138,50,383,0,0
328 9,1693,640,640,36,550,550,23,248,135,171,128,0,0
328 10,1657,695,695,127,365,365,78,54,209,145,184,132,114
328 11,1924,456,456,199,313,313,25,16,25,180,0,0,0
328 12,1891,527,527,290,201,201,48,66,136,82,86,86,0
329 1,2364,12,12,5,649,649,223,203,405,584,117,117,117
329 2,1869,463,463,53,580,580,37,298,72,344,57,0,0
329 3,2112,282,282,58,410,410,61,52,152,332,0,0,0
329 4,2128,195,195,53,795,795,74,212,75,631,12,12,12
329 5,1935,414,414,100,426,426,21,133,74,278,0,0,0
329 6,2216,115,115,31,740,740,118,268,147,619,0,0,0
329 7,2311,20,20,20,800,800,211,227,238,691,6,6,6
329 8,1994,339,339,15,603,603,0,307,99,451,19,0,0
329 9,2018,372,372,128,346,346,32,20,67,243,0,0,0
329 10,1973,356,356,65,668,668,52,360,79,461,69,0,0
329 11,2433,47,47,10,725,725,289,256,433,555,196,196,82
329 12,2030,319,319,43,474,474,90,158,113,346,0,0,0
330 1,2565,201,201,13,902,902,317,254,401,433,270,266,0
330 2,2600,270,270,60,1068,1068,142,79,239,399,324,92,0
330 3,2586,343,343,107,971,971,199,140,264,305,396,153,15
330 4,2413,186,186,84,1156,1156,3,62,51,381,414,0,0
330 5,2362,46,46,46,1296,1296,121,189,121,348,493,116,116
330 6,2503,289,289,128,1067,1067,82,23,152,332,407,37,0
330 7,2496,116,116,116,1206,1206,27,91,183,474,360,16,16
330 8,2549,190,190,0,1076,1076,74,11,175,505,258,23,13
330 9,2612,375,375,9,871,871,287,222,344,263,388,234,100
330 10,2402,45,45,22,953,953,148,83,153,627,107,102,102
330 11,2422,437,437,34,888,888,248,82,272,110,206,93,0
330 12,2379,270,270,38,1058,1058,80,17,102,268,300,0,0
331 1,2284,317,317,22,990,990,200,37,212,156,161,0,0
331 2,2054,35,35,32,1240,1240,289,320,289,306,355,253,253
331 3,1940,129,129,48,1060,1060,513,298,514,243,256,256,256
331 4,1993,89,89,17,1134,1134,402,301,402,243,265,245,245
331 5,2379,373,373,101,950,950,194,18,213,154,207,29,0
331 6,2242,238,238,28,1082,1082,154,115,158,222,232,63,63
331 7,2330,421,421,106,869,869,298,27,315,62,101,41,2
331 8,2275,148,148,24,1174,1174,68,152,68,338,347,61,61
331 9,2303,69,69,21,1259,1259,79,195,79,323,450,71,71
331 10,2101,13,13,13,1314,1314,243,340,243,214,440,234,234
331 11,1872,61,39,20,1355,1355,467,489,467,313,480,405,385
331 12,2019,15,15,15,1350,1350,324,406,324,200,465,316,316
332 1,1873,90,90,44,1080,1080,582,356,583,307,310,310,310
332 2,1855,22,22,22,1162,1162,555,401,555,340,359,359,359
332 3,1719,152,52,8,1404,1404,623,606,623,441,567,496,405
332 4,1758,12,12,12,1127,1127,698,462,698,423,406,406,406
332 5,1447,167,167,6,1262,1262,1034,688,1034,570,325,325,325
332 6,1778,64,64,9,1314,1314,578,525,578,460,483,469,469
332 7,1552,109,109,7,1243,1243,899,657,899,632,371,371,371
332 8,1418,354,51,0,1529,1529,917,846,940,735,675,675,518
332 9,1654,65,65,25,1242,1242,764,576,764,528,462,462,462
332 10,1797,130,12,12,1406,1406,541,561,541,344,542,411,353
332 11,1862,132,132,11,1014,1014,646,348,649,328,289,289,289
332 12,1697,107,107,7,1335,1335,668,583,668,519,540,540,515
333 1,938,24,24,24,1590,1590,1205,971,1459,782,736,736,24
333 2,945,31,31,31,1636,1636,1282,977,1491,653,642,642,0
333 3,1124,121,121,121,1519,1519,1328,877,1333,559,486,486,142
333 4,982,46,41,41,1594,1594,1026,1021,1381,925,833,833,194
333 5,1136,146,146,13,1591,1591,1184,978,1273,698,587,587,165
333 6,1026,31,31,31,1646,1646,1270,1005,1397,669,614,614,50
333 7,1300,349,117,25,1579,1579,975,946,1069,863,673,673,385
333 8,1174,233,131,18,1683,1683,978,1072,1190,890,742,742,293
333 9,1271,283,269,23,1505,1505,1126,928,1133,718,553,553,305
333 10,1042,42,42,42,1565,1565,1393,902,1427,544,522,522,69
333 11,893,47,47,47,1527,1527,1147,927,1488,867,818,818,106
333 12,1191,194,194,41,1505,1505,1243,889,1243,618,497,497,213
334 1,750,213,149,149,1416,1416,1058,782,1649,858,869,869,110
334 2,895,78,78,78,1573,1573,1216,926,1524,723,713,713,0
334 3,732,200,71,71,1375,1375,1016,766,1649,939,934,934,193
334 4,722,249,249,105,1445,1445,1101,754,1720,752,805,805,85
334 5,805,157,157,125,1561,1561,1222,836,1680,620,684,684,4
334 6,861,91,91,91,1509,1509,1150,895,1529,840,810,810,81
334 7,827,59,53,53,1441,1441,1065,866,1534,993,940,940,232
334 8,648,292,44,44,1304,1304,945,681,1738,962,982,982,213
334 9,622,345,204,26,1356,1356,1019,654,1819,822,890,890,178
334 10,940,22,22,22,1629,1629,1326,944,1540,554,582,582,36
334 11,818,160,160,160,1524,1524,1174,850,1620,706,737,737,13
334 12,591,371,281,22,1367,1367,1017,623,1880,790,874,874,142
335 1,140,140,53,1,846,846,509,172,2249,1176,1397,933,280
335 2,324,324,168,22,1101,1101,745,356,2116,1051,1139,1027,413
335 3,11,11,11,11,872,872,507,42,2449,1298,1374,699,546
335 4,65,65,17,17,793,793,448,97,2329,1170,1448,850,277
335 5,425,425,329,26,1254,1254,885,456,2065,899,985,985,294
335 6,171,171,36,22,919,919,570,203,2239,1233,1321,921,386
335 7,326,326,50,0,1005,1005,659,359,2059,1182,1247,1118,399
335 8,144,144,144,7,970,970,597,175,2307,1189,1270,838,528
335 9,330,330,130,0,982,982,627,364,2042,1194,1283,1156,371
335 10,25,25,25,22,706,706,342,8,2416,1178,1533,705,324
336 1,372,244,244,102,552,552,423,245,2323,1145,1742,276,276
336 2,486,359,359,10,363,363,246,342,2109,1183,1904,237,237
336 3,360,235,235,48,461,461,187,251,2188,1212,1796,359,359
336 4,506,385,385,40,304,304,177,255,2034,1147,1954,294,294
336 5,439,320,320,42,324,324,78,269,2046,1071,1920,394,287
336 6,182,55,55,14,715,715,445,55,2461,1234,1562,446,446
336 7,265,137,137,43,639,639,416,138,2393,1221,1642,385,385
336 8,44,44,44,15,784,784,427,27,2506,1369,1466,620,533
336 9,475,348,348,56,438,438,385,348,2213,1091,1853,180,180
336 10,464,335,335,152,498,498,481,336,2287,1041,1823,190,190
336 11,335,218,218,49,398,398,25,221,2112,1037,1842,494,225
336 12,541,422,422,56,236,236,170,180,1962,1075,2014,338,332
337 1,700,572,572,96,271,271,244,469,2080,892,2064,0,0
337 2,803,516,516,127,238,238,185,516,2079,753,2151,0,0
337 3,590,471,471,13,222,222,222,192,1958,1140,2038,262,262
337 4,524,396,396,166,447,447,428,397,2244,989,1882,132,132
337 5,814,661,661,30,145,145,122,424,1959,861,2187,57,57
337 6,599,469,469,203,406,406,370,470,2216,908,1950,74,74
337 7,1010,765,765,104,103,103,103,365,1676,949,2425,327,327
337 8,937,667,667,11,69,69,18,511,1912,754,2300,127,127
337 9,784,657,657,13,90,90,90,272,1875,1001,2192,148,148
337 10,512,384,384,80,415,415,413,385,2196,1051,1885,140,140
337 11,636,508,508,29,254,254,254,341,2033,1034,2031,88,88
337 12,686,560,560,72,169,169,169,243,1935,1073,2104,161,161
338 1,1107,629,629,108,114,114,114,503,1706,801,2491,336,336
338 2,1436,242,242,43,282,282,151,29,1856,368,2773,608,608
338 3,1462,306,306,27,435,435,266,290,1480,772,2706,678,678
338 4,1310,365,365,17,192,192,26,183,1803,502,2654,471,471
338 5,1257,422,422,91,108,108,30,128,1953,382,2594,435,435
338 6,1096,676,676,49,156,156,156,453,1640,893,2501,384,384
338 7,999,543,543,21,96,96,44,399,2023,563,2339,166,166
338 8,1191,537,537,71,165,165,144,424,1687,736,2565,397,397
338 9,1376,315,315,8,268,268,72,225,1713,558,2727,541,541
338 10,1221,475,475,90,142,142,50,325,1752,633,2579,398,398
338 11,1301,458,458,7,278,278,163,416,1594,745,2681,513,513
338 12,1102,594,594,162,45,45,45,414,1807,689,2463,287,287
339 1,1611,80,80,54,417,417,348,67,1879,328,2946,795,795
339 2,1606,142,142,40,510,510,313,128,1551,652,2821,780,780
339 3,1622,54,54,46,488,488,316,81,1703,497,2962,782,782
339 4,1550,135,135,84,432,432,245,143,1684,522,2895,711,711
339 5,1820,50,50,32,637,637,352,114,1762,454,3077,991,792
339 6,1807,12,12,12,726,726,529,38,1413,636,2718,993,993
339 7,1516,159,159,60,368,368,217,46,1794,412,2854,681,681
339 8,1499,190,190,26,312,312,251,40,1911,292,2834,685,685
339 9,1941,183,183,70,731,731,225,247,1797,326,3128,1118,666
339 10,1560,206,206,50,514,514,327,190,1456,762,2708,766,766
339 11,1872,102,102,12,745,745,454,123,1572,475,2891,1033,893
339 12,1858,64,64,10,694,694,379,121,1682,438,3001,1020,819
340 1,2049,274,274,26,841,841,176,335,1758,224,3099,1222,616
340 2,2035,544,544,38,1147,1147,122,487,1659,116,3012,1500,509
340 3,2238,491,491,16,966,966,39,348,1918,100,3268,1435,366
340 4,2095,349,349,13,832,832,21,447,1919,194,3263,1295,461
340 5,2289,627,627,96,1110,1110,139,222,1923,149,3306,1596,244
340 6,2174,404,404,11,946,946,73,465,1790,94,3139,1351,504
340 7,2179,664,664,29,1173,1173,54,285,1852,60,3205,1611,306
340 8,2123,377,377,9,981,981,173,432,1676,159,3025,1333,594
340 9,1928,568,568,97,1321,1321,128,430,1627,121,2977,1665,454
340 10,1955,435,435,47,1077,1077,298,462,1513,288,2863,1378,695
340 11,2142,544,544,38,1097,1097,26,409,1767,17,3120,1495,431
340 12,2311,562,562,76,1025,1025,110,271,1957,132,3310,1515,290
341 1,2182,605,605,137,1342,1342,153,125,1835,160,3285,1810,150
341 2,1968,622,622,142,1573,1573,6,112,1812,0,3143,1907,177
341 3,2163,668,668,72,1273,1273,99,207,1883,108,3233,1721,230
341 4,2005,650,650,10,1313,1313,39,348,1716,32,3066,1689,373
341 5,1884,531,531,46,1393,1393,144,384,1615,136,2962,1732,429
341 6,2262,531,531,105,1316,1316,231,66,1772,238,3363,1816,89
341 7,2112,572,572,60,1557,1557,119,15,1764,57,3295,1964,41
341 8,1855,512,512,13,1696,1696,11,107,1753,30,3068,1775,261
341 9,2000,542,542,39,1682,1682,17,20,1726,0,3314,1854,50
341 10,2073,674,674,128,1439,1439,60,157,1862,70,3204,1868,180
341 11,1948,604,604,50,1674,1674,7,38,1814,8,3162,1814,168
341 12,2156,569,569,90,1463,1463,153,52,1776,113,3306,1931,76
342 1,1773,343,343,27,1696,1696,5,284,1524,0,3513,1761,292
342 2,1860,240,240,62,1725,1725,55,324,1422,75,3613,1901,297
342 3,1767,147,147,14,1604,1604,15,446,1328,23,3709,1876,421
342 4,1552,392,392,21,1587,1587,32,317,1456,292,3387,1464,497
342 5,1876,507,507,29,1803,1803,59,109,1688,51,3347,1754,166
342 6,1767,245,245,27,1648,1648,5,364,1426,0,3611,1817,349
342 7,1603,381,381,20,1576,1576,0,352,1507,174,3484,1585,438
342 8,1799,468,468,12,1771,1771,105,180,1650,92,3388,1705,241
342 9,1666,300,300,21,1588,1588,64,377,1486,71,3561,1695,401
342 10,1878,335,335,74,1759,1759,21,238,1516,31,3519,1861,216
342 11,2022,322,322,0,1609,1609,163,188,1510,166,3541,2003,164
342 12,1576,188,188,16,1462,1462,9,427,1386,142,3675,1692,478
343 1,1530,51,51,17,1355,1355,78,287,1259,125,3814,1745,351
343 2,1364,349,349,22,1407,1407,221,492,1268,416,3490,1361,678
343 3,1297,25,25,0,1154,1154,130,211,1205,121,3852,1584,453
343 4,1154,27,27,27,1049,1049,138,205,1061,128,3862,1478,567
343 5,1476,208,208,42,1392,1392,106,417,1380,247,3661,1595,522
343 6,1371,14,14,0,1165,1165,49,141,1207,39,3929,1695,341
343 7,1431,107,107,41,1303,1303,163,311,1337,203,3764,1630,441
343 8,1451,6,6,6,1265,1265,112,220,1236,103,3864,1714,341
343 9,1516,144,144,11,1391,1391,74,369,1354,178,3722,1672,446
343 10,1252,109,109,0,1170,1170,214,289,1158,206,3772,1488,551
343 11,1375,316,316,22,1376,1376,200,503,1279,373,3560,1429,666
343 12,1064,137,137,6,1140,1140,379,434,967,371,3648,1217,779
344 1,806,299,299,38,476,476,171,136,713,181,4321,1140,592
344 2,726,268,268,58,503,503,73,38,652,82,4249,1121,685
344 3,869,216,216,16,552,552,167,128,795,178,4281,1222,546
344 4,888,15,15,4,819,819,86,137,797,77,3970,1368,720
344 5,1042,9,9,9,963,963,134,190,949,126,3887,1412,656
344 6,757,45,45,44,836,836,226,267,662,217,3888,1198,550
344 7,588,40,40,20,656,656,155,189,498,146,4045,1150,460
344 8,881,282,282,35,465,465,259,221,731,269,4386,1164,510
344 9,1112,80,80,1,889,889,23,10,1025,33,4058,1555,523
344 10,969,18,18,18,782,782,12,13,882,19,4074,1423,602
344 11,1041,28,28,28,870,870,4,60,952,0,4016,1512,604
344 12,881,105,105,24,713,713,9,11,796,19,4098,1339,642
345 1,343,266,266,202,209,209,33,65,322,0,3880,689,522
345 2,418,412,412,202,171,171,88,55,253,67,3987,654,585
345 3,639,594,594,24,108,108,0,253,364,90,4224,799,757
345 4,401,224,224,40,372,372,2,99,340,0,3963,859,467
345 5,509,426,426,105,208,208,83,77,336,88,4063,749,672
345 6,577,577,577,69,10,10,10,320,267,0,4200,691,665
345 7,659,283,283,70,449,449,57,24,589,66,4218,1047,650
345 8,726,487,487,51,267,267,87,201,510,225,4279,943,686
345 9,700,378,378,133,373,373,144,113,588,154,4262,1012,691
345 10,799,351,351,103,412,412,212,178,659,221,4361,1089,592
345 11,282,282,282,228,131,131,25,59,278,0,3835,610,521
345 12,499,499,499,151,66,66,66,187,232,47,4095,664,616
357 1,664,664,664,87,795,795,148,1135,163,455,155,89,89
357 2,1014,929,929,168,712,712,93,1138,162,137,136,136,77
357 3,664,664,664,28,939,939,245,970,295,419,256,203,203
357 4,543,543,543,44,1005,1005,159,937,260,536,166,142,142
357 5,757,757,757,8,578,578,114,1109,214,291,164,59,59
357 6,768,768,768,113,908,908,311,971,332,307,354,302,168
357 7,907,907,907,95,735,735,132,1132,152,252,251,251,188
357 8,864,864,864,10,679,679,117,1200,134,306,308,223,163
357 9,597,597,597,65,875,875,112,1065,156,466,123,68,68
357 10,794,794,794,141,436,436,121,967,144,202,188,53,53
357 11,546,546,546,78,641,641,0,1205,32,251,0,0,0
357 12,743,743,743,66,719,719,187,1194,207,427,193,130,130
358 1,1303,949,949,179,399,399,19,940,353,44,19,0,0
358 2,971,971,971,70,367,367,157,892,188,105,185,185,60
358 3,1101,1030,1030,121,599,599,26,1132,121,72,73,73,2
358 4,1247,967,967,48,601,601,25,1140,288,68,0,0,0
358 5,1102,1102,1102,75,273,273,76,806,304,6,157,142,0
358 6,1264,998,998,167,281,281,11,821,396,35,67,32,12
358 7,987,987,987,22,545,545,10,1070,10,185,186,186,44
358 8,1056,1056,1056,17,441,441,91,970,132,85,90,90,90
358 9,1396,859,859,149,372,372,19,911,457,12,82,39,39
358 10,1360,893,893,205,465,465,87,1007,378,109,7,0,0
358 11,1156,1120,1120,171,185,185,140,720,394,90,188,58,0
358 12,1175,1068,1068,105,547,547,24,1083,178,3,4,4,0
359 1,1795,502,502,125,400,400,26,793,151,40,0,0,0
359 2,1355,949,949,404,15,15,15,551,499,215,233,52,0
359 3,1427,867,867,275,139,139,0,665,498,88,102,2,2
359 4,1540,748,748,170,250,250,0,753,364,6,9,9,0
359 5,1733,567,567,287,246,246,6,632,212,3,103,103,23
359 6,1571,702,702,90,335,335,61,837,314,45,0,0,0
359 7,1657,698,698,470,53,53,53,436,271,45,303,86,50
359 8,1454,806,806,98,351,351,48,882,428,11,32,32,32
359 9,1584,709,709,247,193,193,15,671,348,86,89,89,41
359 10,1504,849,849,519,46,46,46,403,288,198,352,106,42
359 11,1653,637,637,131,314,314,3,777,258,4,0,0,0
359 12,1593,718,718,359,100,100,100,552,369,95,198,196,104
360 1,1804,557,557,455,166,166,147,461,283,70,259,29,0
360 2,2022,401,401,396,29,29,29,335,372,4,354,60,60
360 3,1992,461,461,398,83,83,83,252,324,23,270,110,0
360 4,1934,405,405,379,166,166,0,546,167,159,169,0,0
360 5,2020,374,374,364,53,53,28,457,250,76,276,0,0
360 6,1795,625,625,541,40,40,40,322,202,55,348,0,0
360 7,2033,317,317,308,100,100,34,545,164,136,206,34,34
360 8,1892,488,488,476,108,108,95,451,265,133,262,0,0
360 9,2264,136,136,128,107,107,107,444,290,33,436,159,48
360 10,1944,355,355,251,248,248,34,676,37,30,48,33,33
360 11,1721,622,622,435,127,127,127,479,313,0,254,96,0
360 12,1620,781,781,528,26,26,26,328,168,74,414,0,0
361 1,2228,214,214,214,157,157,157,302,432,54,316,189,0
361 2,2474,40,40,40,372,372,136,230,557,201,332,332,53
361 3,2604,48,48,48,383,383,45,177,674,316,385,385,174
361 4,2297,216,216,216,346,346,75,102,411,253,126,126,0
361 5,2333,114,114,114,235,235,235,312,432,83,341,269,0
361 6,2422,39,39,39,539,539,82,29,470,437,117,117,104
361 7,2222,288,288,270,246,246,164,179,396,175,192,192,0
361 8,2433,87,87,87,431,431,36,106,535,305,207,207,76
361 9,2231,210,210,136,391,391,1,13,303,326,27,27,0
361 10,2492,28,28,25,630,630,166,96,533,521,189,189,189
361 11,2427,17,17,17,255,255,255,344,435,79,405,342,5
361 12,2362,140,140,140,424,424,5,48,445,321,113,113,0
362 1,2708,202,202,42,571,571,184,56,702,335,402,402,304
362 2,2666,428,428,60,450,450,68,34,728,161,462,462,350
362 3,2544,455,455,37,766,766,364,238,403,131,298,249,143
362 4,2776,302,302,15,499,499,87,29,725,253,515,515,380
362 5,2610,100,100,80,590,590,149,28,658,435,306,306,257
362 6,2648,412,412,29,540,540,154,118,640,126,435,435,331
362 7,2679,340,340,26,684,684,276,227,526,209,434,397,222
362 8,2755,389,389,48,355,355,20,58,842,280,561,396,330
362 9,2728,319,319,12,586,586,176,123,630,215,499,488,299
362 10,2491,557,557,18,588,588,248,218,572,0,277,277,201
362 11,2526,602,602,42,371,371,45,14,792,181,341,341,184
362 12,2512,94,94,34,733,733,282,218,527,483,235,235,77
363 1,2390,701,701,108,479,479,185,139,710,162,195,195,78
363 2,2245,603,603,164,559,559,314,37,707,268,51,51,0
363 3,2163,527,527,88,611,611,388,8,721,316,0,0,0
363 4,2271,458,458,81,785,785,421,12,436,28,38,38,34
363 5,2058,504,504,61,547,547,445,12,929,528,0,0,0
363 6,2342,469,469,73,809,809,355,60,373,5,96,79,0
363 7,2236,637,637,193,481,481,279,65,812,340,76,76,0
363 8,2273,538,538,113,683,683,387,32,546,129,59,59,59
363 9,2161,420,420,18,779,779,501,41,528,131,0,0,0
363 10,2050,461,461,31,614,614,463,69,847,449,0,0,0
363 11,2387,758,758,109,362,362,122,26,844,275,230,230,51
363 12,2160,473,473,43,702,702,445,33,615,215,0,0,0
364 1,1733,152,152,118,885,885,782,327,969,530,86,86,86
364 2,1703,66,66,52,1000,1000,849,463,883,536,175,175,175
364 3,1984,452,452,53,581,581,521,39,988,591,0,0,0
364 4,1738,212,212,93,812,812,765,219,1062,476,72,72,72
364 5,1583,121,121,112,904,904,904,245,1223,300,0,0,0
364 6,1830,248,248,80,796,796,684,255,927,539,86,86,86
364 7,1738,257,257,30,765,765,765,145,1139,447,6,6,6
364 8,1856,304,304,21,729,729,649,179,977,584,5,5,5
364 9,1635,28,28,14,1013,1013,896,446,977,511,102,102,102
364 10,1833,199,199,53,881,881,716,338,819,445,215,215,215
364 11,1910,300,300,27,773,773,619,232,835,444,134,134,134
364 12,1867,361,361,23,663,663,640,90,1060,577,0,0,0
365 1,1470,46,46,41,986,986,986,295,1330,178,25,25,25
365 2,1111,30,30,30,1268,1268,1268,537,1647,151,223,223,223
365 3,1129,140,140,37,1453,1453,1380,789,1380,442,410,410,182
365 4,1302,217,217,0,1281,1281,1218,633,1253,366,242,242,242
365 5,1220,216,216,37,1304,1304,1288,623,1376,278,256,256,256
365 6,1334,135,135,10,1200,1200,1174,536,1288,263,155,155,155
365 7,1099,36,36,21,1320,1320,1320,600,1592,189,277,277,277
365 8,1028,15,15,15,1445,1445,1445,735,1569,328,401,401,137
365 9,1019,33,33,33,1543,1543,1412,861,1483,480,496,496,113
365 10,1201,92,92,27,1229,1229,1229,516,1512,108,186,186,186
365 11,1458,97,97,18,1166,1166,1071,560,1105,430,193,193,193
365 12,1501,29,29,29,996,996,996,333,1243,248,13,13,13
366 1,546,419,419,30,1401,1401,1030,577,1988,756,839,839,196
366 2,953,17,17,17,1542,1542,1398,835,1600,428,497,497,38
366 3,801,161,161,104,1570,1570,1227,833,1696,603,673,673,0
366 4,649,315,315,25,1453,1453,1095,680,1856,700,787,787,71
366 5,781,187,187,13,1591,1591,1233,812,1755,564,650,650,0
366 6,857,109,109,18,1637,1637,1299,888,1675,516,593,593,0
366 7,862,130,130,20,1578,1578,1341,855,1729,446,535,535,80
366 8,919,43,43,43,1627,1627,1328,933,1578,533,579,579,32
366 9,711,277,277,30,1574,1574,1204,742,1866,581,665,665,121
366 10,822,172,172,10,1559,1559,1358,813,1840,444,511,511,218
366 11,626,347,347,91,1470,1470,1102,657,1913,683,770,770,122
366 12,716,166,166,21,1645,1645,1279,747,1946,520,600,600,270
367 1,316,177,177,22,1329,1329,1009,346,2334,881,982,883,561
367 2,83,83,83,13,1045,1045,722,113,2464,1147,1237,671,671
367 3,515,152,152,0,1501,1501,1145,546,2150,691,785,785,415
367 4,346,346,346,17,1232,1232,861,377,2180,938,1013,953,392
367 5,471,44,44,12,1511,1511,1189,502,2254,712,824,824,543
367 6,281,69,69,20,1352,1352,1074,312,2425,898,1015,857,671
367 7,236,189,189,9,1260,1260,959,266,2407,959,1061,803,627
367 8,450,412,412,26,1329,1329,956,481,2088,839,913,913,296
367 9,390,56,56,25,1442,1442,1137,421,2325,790,905,905,592
367 10,394,175,175,0,1393,1393,1055,425,2257,808,905,905,494
367 11,431,431,359,22,1273,1273,902,462,2070,883,967,967,291
368 1,230,101,101,9,722,722,536,101,2492,1114,1585,345,345
368 2,345,217,217,8,710,710,668,217,2515,928,1682,183,183
368 3,36,36,36,28,1000,1000,812,20,2696,957,1371,493,493
368 4,402,274,274,74,575,575,522,274,2365,1067,1754,204,204
368 5,169,42,42,0,971,971,869,26,2807,742,1511,421,421
368 6,293,55,55,55,851,851,769,56,2717,706,1634,320,320
368 7,334,150,150,40,787,787,738,150,2622,790,1670,230,230
368 8,263,134,134,15,779,779,696,134,2577,939,1600,265,265
368 9,318,189,189,23,654,654,538,189,2437,1080,1669,259,259
368 10,402,274,274,74,624,624,589,273,2427,992,1743,145,145
368 11,9,9,9,9,1034,1034,780,39,2585,1061,1291,577,577
368 12,224,93,93,33,859,859,786,95,2663,868,1558,312,312
369 1,555,402,402,143,479,479,434,405,2291,909,1898,85,85
369 2,567,238,238,4,541,541,493,240,2403,819,1902,29,29
369 3,761,58,58,34,462,462,294,32,2545,556,2116,352,352
369 4,543,129,129,4,592,592,562,131,2499,756,1880,139,139
369 5,766,397,397,148,329,329,266,397,2190,702,2105,0,0
369 6,680,306,306,42,422,422,371,306,2293,738,2016,0,0
369 7,500,298,298,84,578,578,525,301,2400,907,1837,31,31
369 8,903,438,438,41,197,197,157,374,2129,579,2240,86,86
369 9,682,230,230,41,439,439,406,230,2355,699,2017,48,48
369 10,630,385,385,115,430,430,377,386,2258,831,1971,46,46
369 11,765,268,268,100,359,359,333,268,2302,626,2099,72,72
369 12,883,283,283,6,271,271,271,248,2286,490,2219,198,198
370 1,1087,404,404,8,111,111,109,53,2262,264,2427,403,403
370 2,1255,448,448,128,40,40,40,135,2127,200,2592,495,495
370 3,1353,343,343,18,154,154,154,27,2022,234,2688,558,558
370 4,1312,407,407,95,54,54,54,102,2209,73,2655,604,604
370 5,947,244,244,68,281,281,147,60,2438,370,2300,412,412
370 6,907,251,251,14,277,277,262,185,2337,438,2246,273,273
370 7,1108,484,484,37,47,47,47,193,2131,338,2442,330,330
370 8,1341,384,384,53,49,49,49,76,2289,0,2694,689,689
370 9,1239,445,445,115,77,77,43,138,1994,354,2574,425,425
370 10,1026,515,515,27,76,76,56,337,2054,500,2364,205,205
370 11,1345,360,360,41,124,124,124,49,2099,160,2682,580,580
370 12,1081,378,378,76,157,157,39,11,2372,237,2432,492,492
371 1,1401,326,326,2,118,118,118,21,2232,0,2749,712,712
371 2,1487,235,235,15,177,177,177,34,2271,84,2843,824,780
371 3,1708,13,13,13,375,375,173,234,2243,302,3071,1045,557
371 4,1813,62,62,40,474,474,62,340,2137,368,3179,1153,452
371 5,1773,21,21,4,490,490,198,325,2072,331,3115,1015,625
371 6,1584,136,136,89,253,253,253,111,2314,195,2949,944,659
371 7,1859,105,105,30,531,531,46,387,2139,432,3216,1159,456
371 8,1532,174,174,87,302,302,302,109,2023,179,2868,750,750
